# MNE-Annotations
# orig_time : 2013-11-26 23:15:06.468396   
# onset, duration, description
0.0,30.0,0.0
30.0,30.0,0.0
60.0,30.0,0.0
90.0,30.0,0.0
120.0,30.0,0.0
150.0,30.0,0.0
180.0,30.0,0.0
210.0,30.0,0.0
240.0,30.0,0.0
270.0,30.0,0.0
300.0,30.0,0.0
330.0,30.0,0.0
360.0,30.0,0.0
390.0,30.0,0.0
420.0,30.0,0.0
450.0,30.0,0.0
480.0,30.0,0.0
510.0,30.0,0.0
540.0,30.0,0.0
570.0,30.0,1.0
600.0,30.0,0.0
630.0,30.0,0.0
660.0,30.0,1.0
690.0,30.0,1.0
720.0,30.0,1.0
750.0,30.0,1.0
780.0,30.0,1.0
810.0,30.0,1.0
840.0,30.0,1.0
870.0,30.0,1.0
900.0,30.0,1.0
930.0,30.0,1.0
960.0,30.0,1.0
990.0,30.0,1.0
1020.0,30.0,1.0
1050.0,30.0,2.0
1080.0,30.0,2.0
1110.0,30.0,2.0
1124.685059,0.5914306640625,kc
1140.0,30.0,2.0
1170.0,30.0,2.0
1200.0,30.0,2.0
1230.0,30.0,2.0
1260.0,30.0,2.0
1269.263916,0.540771484375,kc
1290.0,30.0,2.0
1300.159668,0.96337890625,sw
1320.0,30.0,2.0
1350.0,30.0,2.0
1380.0,30.0,2.0
1410.0,30.0,2.0
1437.335693,0.726806640625,kc
1440.0,30.0,2.0
1440.868042,0.490234375,sw
1493.38501,0.6422119140625,sw
1498.303345,0.540771484375,kc
1500.0,30.0,2.0
1521.88501,0.8619384765625,kc
1523.845581,0.439453125,kc
1530.0,30.0,2.0
1548.639893,0.79443359375,kc
1560.0,30.0,2.0
1565.735718,0.4901123046875,sw
1585.514526,0.507080078125,sw
1590.0,30.0,2.0
1590.246948,0.57470703125,sw
1591.23999,0.77734375,sw
1594.620239,1.4366455078125,sw
1607.118774,1.031005859375,sw
1610.786377,0.726806640625,kc
1620.0,30.0,2.0
1622.841309,0.439453125,sw
1623.720215,0.74365234375,sw
1628.858276,0.828125,sw
1632.018799,1.166259765625,sw
1633.62439,0.7606201171875,sw
1650.0,30.0,2.0
1653.775146,0.6422119140625,kc
